val_mcc,learning_rate,weight_decay,stage_type,pooling,mp_layers,layers_pre_mp,layers_post_mp,layer_type,layer_fingerprints,hidden_channels,has_l2norm,has_bn,fingerprint_type,conv_dropout,conv_aggr,act
0.781640112,0.001,0.0005,stack,mean,2,4,4,sageconv,1,512,False,True,morgan2,0.6,mean,prelu
0.786696196,0.001,0.0005,stack,mean,2,3,2,sageconv,1,256,False,True,morgan2,0,max,lrelu_05
0.774934769,0.001,0.0005,stack,mean,3,4,4,sageconv,1,512,False,True,morgan2,0.3,sum,swish
0.754523814,0.001,0.0005,skipconcat,max,2,4,1,sageconv,1,256,True,False,morgan2,0,sum,lrelu_01
0.820721269,0.001,0.0005,stack,mean,3,5,3,sageconv,1,256,False,True,morgan2,0,sum,prelu
0.793669283,0.001,0.0005,stack,mean,1,4,4,sageconv,1,512,False,True,morgan2,0,sum,relu
0.798813283,0.001,0.0005,stack,mean,3,5,3,sageconv,1,256,False,True,morgan2,0,sum,lrelu_05
0.808381855,0.001,0.0005,stack,mean,1,2,5,sageconv,1,512,False,True,morgan2,0,max,prelu
0.788102627,0.001,0.0005,stack,mean,2,5,2,sageconv,1,256,False,True,morgan2,0,softmax,prelu
0.782044888,0.001,0.0005,stack,mean,1,3,5,sageconv,1,512,False,True,morgan2,0,sum,prelu
0.80162245,0.001,0.0005,stack,mean,3,5,4,sageconv,1,256,False,True,morgan2,0.6,sum,prelu
0.783988237,0.001,0.0005,stack,mean,1,1,5,sageconv,1,512,False,True,morgan2,0.3,max,prelu
0.770452201,0.001,0.0005,stack,mean,3,5,3,sageconv,1,256,False,False,morgan2,0,sum,prelu
0.747290492,0.001,0.0005,stack,mean,1,1,5,sageconv,1,512,True,True,morgan2,0,max,prelu
0.749376774,0.001,0.0005,skipsum,mean,1,3,0,sageconv,1,256,True,True,morgan2,0.3,max,relu
0.776037693,0.001,0.0005,stack,mean,2,5,4,sageconv,1,256,False,True,morgan2,0,sum,prelu
0.790652573,0.001,0.0005,stack,mean,2,3,5,sageconv,1,512,False,True,morgan2,0,max,prelu
0.781827271,0.001,0.0005,stack,mean,3,4,2,sageconv,1,256,False,True,morgan2,0,sum,prelu
0.761558831,0.001,0.0005,skipsum,mean,3,5,3,sageconv,1,512,False,True,morgan2,0,sum,prelu
0.703597486,0.001,0.0005,stack,add,3,4,1,sageconv,1,256,False,True,morgan2,0.6,max,lrelu_025
0.611124456,0.001,0.0005,skipsum,mean,3,4,1,sageconv,1,512,True,True,morgan2,0,softmax,lrelu_05
0.680757403,0.001,0.0005,skipsum,add,2,3,5,sageconv,1,256,False,False,morgan2,0.6,sum,lrelu_05
0.783467352,0.001,0.0005,stack,add,1,3,3,sageconv,1,512,False,True,morgan2,0,max,relu
0.781640112,0.001,0.0005,skipsum,mean,3,5,4,sageconv,1,256,False,True,morgan2,0.3,mean,prelu
0.771986306,0.001,0.0005,skipsum,add,3,1,2,sageconv,1,512,False,True,morgan2,0.6,max,relu
0.796350956,0.001,0.0005,skipconcat,add,3,4,5,sageconv,1,512,False,False,morgan2,0.6,sum,lrelu_01
0.793669283,0.001,0.0005,stack,add,3,5,4,sageconv,1,256,False,True,morgan2,0,max,prelu
0.793402731,0.001,0.0005,stack,mean,1,3,4,sageconv,1,512,False,True,morgan2,0,softmax,lrelu_01
0.779150128,0.001,0.0005,stack,mean,3,5,3,sageconv,1,256,True,True,morgan2,0,max,prelu
0.797589362,0.001,0.0005,stack,mean,1,2,4,sageconv,1,512,False,True,morgan2,0,mean,prelu
0.774054646,0.001,0.0005,stack,mean,3,3,0,sageconv,1,256,True,True,morgan2,0.6,softmax,lrelu_01
0.785459697,0.001,0.0005,stack,mean,3,5,3,sageconv,1,256,False,True,morgan2,0,mean,swish
0.81395638,0.001,0.0005,stack,mean,1,2,4,sageconv,1,512,False,True,morgan2,0,max,prelu
0.789043605,0.001,0.0005,skipsum,mean,3,1,2,sageconv,1,256,False,True,morgan2,0.3,sum,swish
0.805100143,0.001,0.0005,stack,mean,1,3,3,sageconv,1,512,False,True,morgan2,0,max,prelu
0.807184875,0.001,0.0005,skipsum,mean,2,1,4,sageconv,1,256,False,True,morgan2,0.3,softmax,lrelu_01
0.637295783,0.001,0.0005,skipsum,add,3,2,4,sageconv,1,256,False,False,morgan2,0,softmax,swish
0.781827271,0.001,0.0005,stack,mean,1,2,4,sageconv,1,512,False,True,morgan2,0.6,max,prelu
0.804402709,0.001,0.0005,skipconcat,mean,1,4,2,sageconv,1,256,False,True,morgan2,0,mean,lrelu_05
0.782038927,0.001,0.0005,skipsum,add,3,1,2,sageconv,1,512,True,True,morgan2,0.3,mean,swish
0.794987381,0.001,0.0005,skipconcat,mean,3,5,3,sageconv,1,256,False,True,morgan2,0,sum,prelu
0.78253597,0.001,0.0005,stack,mean,1,4,3,sageconv,1,512,False,True,morgan2,0,mean,relu
0.682089686,0.001,0.0005,skipconcat,mean,3,4,0,sageconv,1,256,False,False,morgan2,0,softmax,prelu
0.793223798,0.001,0.0005,skipsum,mean,2,1,4,sageconv,1,256,False,True,morgan2,0,softmax,lrelu_01
0.771304786,0.001,0.0005,stack,mean,1,3,4,sageconv,1,512,False,False,morgan2,0,max,prelu
0.787385941,0.001,0.0005,skipsum,mean,2,2,3,sageconv,1,256,False,True,morgan2,0,softmax,lrelu_025
0.800998926,0.001,0.0005,stack,mean,3,3,4,sageconv,1,512,False,True,morgan2,0.6,sum,relu
0.734559357,0.001,0.0005,skipsum,max,1,3,0,sageconv,1,256,False,True,morgan2,0.3,max,swish
