val_accuracy,val_mcc,val_auc,epoch,step,train_loss,train_accuracy,test_accuracy,test_mcc,test_auc,test_precision,test_recall,test_f1
,,,41,949,0.02639012597501278,0.9921875,,,,,,
0.8656509518623352,0.7314023971557617,0.9393965005874634,41,965,,,,,,,,
0.811634361743927,0.6368339657783508,0.9327548742294312,42,988,,,,,,,,
,,,43,999,0.028135456144809723,0.984375,,,,,,
0.886426568031311,0.7794986963272095,0.9432816505432129,43,1011,,,,,,,,
0.861495852470398,0.7255346179008484,0.9425138235092163,44,1034,,,,,,,,
,,,45,1049,0.027003172785043716,0.9921875,,,,,,
0.8559556603431702,0.7144354581832886,0.9377993941307068,45,1057,,,,,,,,
0.8822714686393738,0.7644881010055542,0.9396306872367859,46,1080,,,,,,,,
,,,47,1099,0.015218980610370636,0.9921875,,,,,,
0.8656509518623352,0.7311562299728394,0.9438804984092712,47,1103,,,,,,,,
0.8850415349006653,0.7703689336776733,0.9441223740577698,48,1126,,,,,,,,
,,,49,1149,0.00886180717498064,1.0,,,,,,
0.8518005609512329,0.7059414386749268,0.9370086193084717,49,1149,,,,,,,,
0.8975069522857666,0.7949686050415039,0.9456387758255005,50,1172,,,,,,,,
0.876731276512146,0.7537063956260681,0.9352733492851257,51,1195,,,,,,,,
,,,52,1199,0.016904368996620178,0.99609375,,,,,,
0.8905817270278931,0.7810685634613037,0.9435195922851562,52,1218,,,,,,,,
0.8739612102508545,0.751511812210083,0.9388590455055237,53,1241,,,,,,,,
,,,54,1249,0.05624967813491821,0.98828125,,,,,,
0.8753462433815002,0.7505374550819397,0.9373233318328857,54,1264,,,,,,,,
0.8795014023780823,0.7592387795448303,0.9451857209205627,55,1287,,,,,,,,
,,,56,1299,0.010047772899270058,0.99609375,,,,,,
0.8725761771202087,0.7450405359268188,0.9465141296386719,56,1310,,,,,,,,
0.8573406934738159,0.7145878672599792,0.9321867227554321,57,1333,,,,,,,,
,,,58,1349,0.008145386353135109,1.0,,,,,,
0.8795014023780823,0.758939266204834,0.9459843635559082,58,1356,,,,,,,,
0.8587257862091064,0.7185196280479431,0.9311962723731995,59,1379,,,,,,,,
,,,60,1399,0.0646875724196434,0.9765625,,,,,,
0.8476454019546509,0.6966196298599243,0.9211570620536804,60,1402,,,,,,,,
0.8642659187316895,0.7297784686088562,0.9338874220848083,61,1425,,,,,,,,
0.8850415349006653,0.770472526550293,0.9425406455993652,62,1448,,,,,,,,
,,,63,1449,0.0365639254450798,0.984375,,,,,,
0.8975069522857666,0.7949686050415039,0.9456387758255005,63,1451,,,,,,,,
,,,63,1451,,,0.8980447053909302,0.7963537573814392,0.9537619948387146,0.9085714221000671,0.8857938647270203,0.8970381021499634
